item,bus_number,P_load_kW,Q_load_kVAR
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,2.6,2.2
7,7,40.4,30.0
8,8,75.0,54.0
9,9,30.0,22.0
10,10,28.0,19.0
11,11,145.0,104.0
12,12,145.0,104.0
13,13,8.0,5.5
14,14,8.0,5.5
15,15,0.0,0.0
16,16,45.5,30.0
17,17,60.0,35.0
18,18,60.0,35.0
19,19,0.0,0.0
20,20,1.0,0.6
21,21,114.0,81.0
22,22,5.0,3.5
23,23,0.0,0.0
24,24,28.0,20.0
25,25,0.0,0.0
26,26,14.0,10.0
27,27,14.0,10.0
28,28,26.0,18.6
29,29,26.0,18.6
30,30,0.0,0.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,14.0,10.0
34,34,19.5,14.0
35,35,6.0,4.0
36,36,26.0,18.55
37,37,26.0,18.55
38,38,0.0,0.0
39,39,24.0,17.0
40,40,24.0,17.0
41,41,1.2,1.0
42,42,0.0,0.0
43,43,6.0,4.3
44,44,0.0,0.0
45,45,39.22,26.3
46,46,39.22,26.3
47,47,0.0,0.0
48,48,79.0,56.4
49,49,384.7,274.5
50,50,384.7,274.5
51,51,40.5,28.3
52,52,3.6,2.7
53,53,4.35,3.5
54,54,26.4,19.0
55,55,24.0,17.2
56,56,0.0,0.0
57,57,0.0,0.0
58,58,0.0,0.0
59,59,100.0,72.0
60,60,0.0,0.0
61,61,1244.0,888.0
62,62,32.0,23.0
63,63,0.0,0.0
64,64,227.0,162.0
65,65,59.0,42.0
66,66,18.0,13.0
67,67,18.0,13.0
68,68,28.0,20.0
69,69,28.0,20.0
